Song_By_Taylor_Swift,Swifts_Emotions,Theme,Time,Streams
You Belong With Me,2,1,229,435670248
The Best Day ,1,4,245,340958328
Blank Space,3,1,232,1528753056
Champagne Problems,2,1,238,471322930
August,4,1,262,776768395
Red,3,3,221,217246274
22,4,3,230,187611776
Everything Has Changed ,2,1,245,111550207
Cornelia Street,3,1,288,258496176
Exile,4,2,286,616876447
Gold Rush,4,2,185,232097898
This Love,4,1,250,152023933
Back To December,2,1,295,98913286
Out Of The Woods,4,2,236,296423054
Better Than Revenge,4,2,218,70139144
Getaway Car,1,2,234,494718006
Me,1,2,195,782380319
New Romantics,1,2,230,244565589
Last Kiss,2,1,367,42089481
Cruel Summer,2,1,119,1182798255
Welcome to New York (Taylor's Version),1,2,213,44669786
Style(Taylors Version),2,3,231,63831160
All You Had to do Was Stay (Taylor's Version),2,1,193,39155346
Shake it Off (Taylors Version),1,2,219,38222237
I Wish You Would (Taylors Version),4,1,208,34275028
Bad Blood (Taylors Version),3,3,211,32951503
Wildest Dreams (Taylors Version) ,2,1,220,558309321
How You Get The Girl (Taylors Version ,2,1,248,31364219
I Know Places (Taylors Version),1,5,196,31939142
Clean (Taylors Version) ,1,2,271,36882093
Wonderland (Taylors Version) ,4,5,245,31081369
You Are In Love (Taylors Version),1,2,267,30145432
"""Slut!"" (Taylors Version) [From the vault]",3,2,180,80776367
Say Don't Go (Taylors Version) [From the vault],3,1,280,71755331
Now That We Don't Talk (Taylors Version) [From the vault],4,2,147,90872177
Suburban Legends (Taylors Version) [From the vault],5,1,172,50799536
Is It Over Now? (Taylors Version) [From the vault],3,1,230,117365012
All Too Well (Taylors Version),3,1,331,212872855
We Are Never Ever Getting Back Together (Taylors Version),3,2,194,245084017
Fearless (Taylors Version),1,2,243,207536513